?Como puedo ayudar a mi nino que aprenda a esperar?,"Todos los bebes deben de aprender a esperar, ?pero como se lo enseno? Ayudandolo a expresarse, dandole avisos, haciendo simulaciones y mostrandole como mentalizar el tiempo de espera. Analiza como trabajar estas habilidades para que tu hijo aprenda la autorregulacion.",link
8 Practicas para criar ninos equilibrados y felices,"Muchas veces como padres, no contamos con estrategias que nos ayuden a educar a hijos felices y estables E el presente articulo sugiere 8 practicas faciles de realizar diariamente para fomentar un desarrollo amigable y sano en todos los ninos.",link
!Me obedeces ahora mismo! (LiMITES),?Te cuesta trabajo establecer limites en casa?.EEste articulo te ayudara con 7 consejos simples y faciles de llevar a cabo.  ,link
Despierta!,"Trabajar la seguridad personal y la empatia en ninos es muy importante. Se puede favorecer a traves de  promover su autonomia, propiciar el uso del lenguaje emocional, validando sus emociones y presentando situaciones de eleccion entre alternativas. ",link
Educar sin gritar,"Muchas veces al educar, el estres se eleva y la  paciencia se termina, sin embargo, existen varias maneras de educar a los ninos sin la necesidad de alzar la voz. Aqui podras encontrar varios tips que te ayudaran a educar de una manera tranquila y equilibrada. ",link
Acostar a los ninos temprano mejora la salud mental de los papas,!Dormir a los ninos desde las 8:30 pm aumenta sus niveles de melatonina! E Si te cuesta mucho trabajo dormirlos temprano analiza estos 5 puntos que recomiendan los especialistas. ,link
siestas,"Cientificos confirman que las siestas favorecen Elas funciones organicas y de crecimiento, sirven para integrar las experiencias vividas durante el dia, mejorando su elaboracion, asimilacion y por tanto el aprendizaje de los ninos.",link
12 Consejos para lidiar con el estres en el embarazo,"Durante el embarazo, en ocasiones la madre esta sometida a mucho estres y si no se maneja de manera adecuada,   puede llegar a tener muchas consecuencias negativas, afectando el desarrollo del feto. Propone el articulo, 12 tips que  te ayudaran  a reducir el estres y de esa forma disfrutar el embarazo.  ",link
El juego como instrumento de aprendizaje: aplicaciones practicas para el cerebro en desarrollo ,"El juego es una necesidad fundamental para el desarrollo integral del nino. Los momentos de juego libre son cordiales para el incremento de habilidades. Algunas de las funciones que se estimulan mediante este son: el lenguaje, el pensamiento matematico, la organizacion, creatividad, imaginacionE. !Animate a jugar!",link
Ideas de juegos y juguetes naturales clasificados por edades.,"Para que gastar en mas juguetes si los mas utiles, divertidos, baratos y que desarrollan la creatividad en los ninos son los que provienen de la naturaleza. ",link
Importancia del movimiento y el juego libre en la infancia,"El movimiento es el vehiculo para la exploracion del entorno, gracias a este los ninos pueden jugar libremente y construir e incrementar su aprendizaje. ",link
Tacto nutritivo con masaje infantil,"El tacto es el primer sentido que se desarrolla dentro del utero, fomenta y desarrolla vinculos afectivos y causa la liberacion de hormonas de bienestar.  ",link
Los si y los no del ejercicio durante el embarazo,"La actividad fisica durante el embarazo es sumamente importante debido  a que mejora la circulacion, hay mayor oxigenacion, favorece el sueno y disminuye dolores tipicos. Aqui encontraras ejercicios que puedes hacer con tranquilidad. ",link
retrasos en el desarrollo,"Es importante conocer como se da el desarrollo normal del lenguaje y las caracteristicas esenciales que se deben de observar segun la edad,  para asi detectar a tiempo si existe un rezago significativo en esta area e intervenir.  ",link
?Como y cuando aprenden hablar los bebes?,"Cuando nuestro bebe es capaz de decir sus primeras palabras debemos de seguir estimulando el habla, el articulo nos regala 10 tips en los cuales comprenderas como seguir ayudandolo para que sea capaz de desarrollar el lenguaje de una forma adecuada.",link
andar hablar pensar,"Teoria de Rudolf Steiner sobre el andar, hablar y pensar. Las define como actividades ligadas, interdependientes y con desarrollo paralelo, mencionando que en ocasiones una predomina mas segun la edad y hay un orden para la adquisicion y manifestacion de las caracteristicas de cada una. ",link
La motricidad fina en edad preescolar ,"Los primeros anos de vida son un periodo critico para la estimulacion de los musculos finos y precisos del cuerpo debido al acelerado crecimiento, desarrollo de sistemas sensoriales, la facultad de establecer inumerables sinapsis, asi como el proceso de mielogenesis. Es por esto que la motricidad fina que incluye las manos, pies, dedos y ojos se debe de trabajar desde temprana edad. Conoce mas y aprende algunas actividades que sugiere el articulo.",link
Fases del desarrollo de la motricidad gruesa. Juguetes y juegos para potenciarla.,La motricidad gruesa comprende los movimientos de grandes grupos musculares. El siguiente articulo explica las fases del desarrollo motor grueso y propone actividades para impulsarlo. ,link
actividades y escenarios,"Debemos de trabajar el desarrollo de los musculos gruesos del cuerpo para incrementar la coordinacion, equilibrio y control corporal. Encontraras mas de 20 escenarios y ejercicios para estimularlo de una manera divertida. ",link
andadera,"La andadera no es buena en ningun momento del desarrollo motriz debido a que impide que se fortalezcan los musculos gruesos, que tengan alternancia de brazos y un buen control del tronco.  Asi mismo, puede causar que se observen posturas y patrones de marcha anormales. ",link
Libertad de movimiento,"Los planteamientos de la pediatra Emmi Pikler: OEl movimiento libre basado en la actividad autonoma favorece en el nino el descubrimiento de sus propias capacidades, la utilizacion de sus propias adquisiciones, y el aprendizaje a partir de sus propios fracasos y logros. ",link
Sorprendelo! Despierta la curiosidad de tu bebe,El aprendizaje comienza desde el embarazo con todas las experiencias que vive mama dia a diaE !Conoce como funciona el cebero de tu bebe y la manera en la que surge el desarrollo de las conexiones neuronales!,link
?Cuales son los beneficios de abrazar a tu bebe?,"Abrazar a los bebes, es un acto que hacemos por naturaleza en donde se demuestra el carino y el afecto pero ademas tiene varios beneficios, algunos de ellos son que sirve como tranquilizador, como transmisor de seguridad y proteccion. Estos pueden repercutir en el desarrollo del caracter y de la personalidad. Conoce mas ventajas leyendo el articulo de @bebesencamino !",link
Etapas del desarrollo: tu bebe sociabiliza,"Este articulo revela como debe de ser el desarrollo de la socializacion por meses, como ayudar a desarrollar esta habilidad y ademas como poder detectar cuando no se observe ningun signo. ",link
Lo que pide el cerebro de un nino para desarrollarse es amor,"Entrevista con el Dr. alvaro Bilbao, excelentes y claras respuestas a muchas preguntas comunes de padres sobre el desarrollo y educacion de sus hijos. ",link
Ideas para un lunch saludable ,!Crea buenos habitos alimenticios cambiando su lunch! Tendras ninos mas sanos y fuertes.,link
Confianza vs desconfianza: conoce las etapas del desarrollo psicosocial por las que pasan tus hijos,La personalidad se fija desde los primeros anos de vida. El psicoanalista Erik Erikson propone 8 etapas del desarrollo psicosocial del nino en las cuales debe de resolver conflictos para llegar a formar un caracter  apropiado.,link
?Mi bebe siente mis caricias dentro de la panza?,"Desde que la madre esta embarazada, su bebe siente las caricias dentro del utero. estas le ayudan a favorecer el incremento de conexiones neuronales. ?quieres saber como sucede..? este articulo te lo explicara.",link
